time,volatage(V),current(A),temperature(C),irradiance(W/m^2),state
21/04/2025,61.87,9.52,75,468.4,safe
21/04/2025,70,8.525,65,1011,warning
21/04/2025,67.92,9.977,59,488.5,safe
21/04/2025,68.1,9.786,41,546.2,unsafe
21/04/2025,67.15,12.397,62,949.7,unsafe
21/04/2025,60.2,11.987,45,962.8,safe
21/04/2025,70.14,9.611,63,847.2,safe
21/04/2025,65.95,10.269,78,858.3,unsafe
21/04/2025,67.71,10.512,85,510.2,unsafe
21/04/2025,68,8.11,68,217.6,unsafe
21/04/2025,66.03,12.886,82,480,unsafe
21/04/2025,60.26,10.408,53,894.1,unsafe
21/04/2025,65.83,12.735,41,908.1,safe
21/04/2025,65.72,8.248,65,953.9,safe
21/04/2025,67.14,13.682,62,626.2,warning
21/04/2025,64.43,8.336,84,388.6,warning
21/04/2025,71.1,9.348,82,963.1,unsafe
21/04/2025,60.86,9.557,77,847.8,warning
21/04/2025,69.71,10.228,45,266.7,unsafe
21/04/2025,67.65,9.533,83,785.4,unsafe
21/04/2025,70.99,13.827,43,791.5,safe
21/04/2025,65.97,9.242,84,710.4,unsafe
21/04/2025,60.5,9.697,70,706.4,unsafe
21/04/2025,60.85,10.232,67,856.3,unsafe
21/04/2025,69.25,11.629,80,706,unsafe
21/04/2025,65.48,8.778,70,428.5,unsafe
21/04/2025,65.34,11.639,53,596.7,warning
21/04/2025,60.81,11.628,62,468.4,safe
21/04/2025,67.8,12.01,72,827.1,unsafe
21/04/2025,69.35,10.081,78,648.6,unsafe
21/04/2025,66.55,11.289,71,971.8,unsafe
21/04/2025,69.61,11.358,76,677.7,unsafe
21/04/2025,68.24,12.215,72,791.8,unsafe
21/04/2025,61.67,10.435,68,810.6,safe
21/04/2025,71.88,12.133,71,1073.9,warning
21/04/2025,64.7,12.977,47,770.8,unsafe
21/04/2025,64.03,11.033,46,918.6,warning
21/04/2025,68.74,13.531,45,444.6,safe
21/04/2025,64.81,9.959,64,822.7,safe
21/04/2025,64.06,10.142,84,397.2,safe
21/04/2025,66.24,8.733,64,1090,warning
21/04/2025,68.77,11.324,74,1068.7,unsafe
21/04/2025,70.37,9.086,73,863,unsafe
21/04/2025,64.51,8.848,65,421.8,unsafe
21/04/2025,65.93,8.698,45,887.6,unsafe
21/04/2025,67.99,10.141,82,328.1,warning
21/04/2025,69.07,13.191,59,635.8,unsafe
21/04/2025,63.95,8.303,41,876.2,safe
21/04/2025,68.53,10.882,53,399.7,unsafe
21/04/2025,66.16,13.037,58,303.3,unsafe
21/04/2025,68.07,11.262,64,1014.7,warning
21/04/2025,61.32,13.503,51,304.4,unsafe
21/04/2025,63.54,11.624,72,746,safe
21/04/2025,68.4,8.065,44,759.3,safe
21/04/2025,70.49,11.264,68,457.4,safe
21/04/2025,64.59,13.192,74,703,safe
21/04/2025,61.89,10.046,62,244.3,safe
21/04/2025,66.61,9.577,51,596.1,unsafe
21/04/2025,68.92,10.612,46,353.9,unsafe
21/04/2025,60.81,8.332,56,658.3,warning
21/04/2025,70.26,12.791,78,851.2,warning
21/04/2025,65.82,10.946,72,416.4,safe
21/04/2025,65.54,12.438,71,347,safe
21/04/2025,64.78,12.013,51,421.5,safe
21/04/2025,67.78,13.205,56,760.6,safe
21/04/2025,67.24,9.441,73,433,warning
21/04/2025,64.35,8.313,70,523.4,warning
21/04/2025,70.13,10.524,49,883.3,warning
21/04/2025,65.03,11.24,74,1027.3,unsafe
21/04/2025,68.29,13.255,85,849.5,warning
21/04/2025,64.9,8.005,69,1042.2,unsafe
21/04/2025,65.77,13.623,43,1053.5,warning
21/04/2025,67.88,11.048,73,407.3,warning
21/04/2025,69.3,13.177,44,332.9,safe
21/04/2025,66.31,10.694,71,356.5,unsafe
21/04/2025,62.74,10.737,71,921,unsafe
21/04/2025,65.55,9.819,83,464.7,warning
21/04/2025,70.58,12.652,61,985.2,unsafe
21/04/2025,69.65,11.333,69,337.4,safe
21/04/2025,60.84,11.931,40,622.9,safe
21/04/2025,71.34,11.276,46,383.9,warning
21/04/2025,60.28,10.399,80,703.8,safe
21/04/2025,67.97,11.706,45,864.4,safe
21/04/2025,64.68,11.882,60,897,safe
21/04/2025,70.87,13.625,70,978.8,warning
21/04/2025,66.69,8.653,60,473.6,safe
21/04/2025,70.59,13.284,51,639.4,unsafe
21/04/2025,70.35,12.922,52,1045.6,unsafe
21/04/2025,65.46,11.245,62,846.3,warning
21/04/2025,65.6,11.948,56,1053.5,unsafe
21/04/2025,62.06,13.259,56,1022.4,unsafe
21/04/2025,65.47,11.076,57,349.1,unsafe
21/04/2025,67.49,9.953,59,886.6,safe
21/04/2025,66.26,8.648,60,362.5,safe
21/04/2025,70.58,12.57,57,413.9,unsafe
21/04/2025,70.18,13.585,51,777.6,safe
21/04/2025,71.96,8.749,82,710.5,unsafe
21/04/2025,71.81,13.944,61,662.3,warning
21/04/2025,61.02,8.238,46,1003.8,warning
21/04/2025,65.95,12.854,78,1086,unsafe
21/04/2025,64.47,12.998,83,448.5,warning
21/04/2025,69.15,10.633,78,489,safe
21/04/2025,62.31,10.523,84,682.2,safe
21/04/2025,62.35,9.043,49,769.2,warning
21/04/2025,62.34,8.346,41,867.7,unsafe
21/04/2025,71.51,9.564,42,542.6,warning
